hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,up_proj,25,0,149950
RTX3090,meta-llama/Llama-3.1-8B,down_proj,25,0,146787
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,25,0,26733
RTX3090,meta-llama/Llama-3.1-8B,lm_head,25,0,1244388
RTX3090,meta-llama/Llama-3.1-8B,embedding,26,0,3907
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,26,0,26134
RTX3090,meta-llama/Llama-3.1-8B,q_proj,26,0,48793
RTX3090,meta-llama/Llama-3.1-8B,k_proj,26,0,15186
RTX3090,meta-llama/Llama-3.1-8B,v_proj,26,0,14849
RTX3090,meta-llama/Llama-3.1-8B,rope,26,0,31244
RTX3090,meta-llama/Llama-3.1-8B,attn,26,0,6828
RTX3090,meta-llama/Llama-3.1-8B,o_proj,26,0,48958
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,26,0,27047
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,26,0,150097
RTX3090,meta-llama/Llama-3.1-8B,act_fn,26,0,3342
RTX3090,meta-llama/Llama-3.1-8B,up_proj,26,0,149700
RTX3090,meta-llama/Llama-3.1-8B,down_proj,26,0,146767
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,26,0,26850
RTX3090,meta-llama/Llama-3.1-8B,lm_head,26,0,1243550
RTX3090,meta-llama/Llama-3.1-8B,embedding,27,0,3789
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,27,0,25125
